pl_name
"Kepler-94 b"
"Kepler-32 d"
"Kepler-49 c"
"Kepler-49 c"
"Kepler-26 c"
"Kepler-102 d"
"Kepler-11 e"
"Kepler-25 c"
"Kepler-37 d"
"Kepler-25 b"
"TrES-2 b"
"TrES-2 b"
"Kepler-18 d"
"Kepler-104 d"
"Kepler-126 d"
"Kepler-126 d"
"Kepler-138 c"
"Kepler-22 b"
"Kepler-5 b"
"HAT-P-18 b"
"WASP-12 b"
"WASP-48 b"
"WASP-67 b"
"K2-3 b"
"Kepler-249 d"
"GJ 3470 b"
"WASP-80 b"
"K2-3 c"
"GJ 1132 b"
"KELT-11 b"
"KOI-13 b"
"Kepler-68 b"
"Kepler-20 d"
"Kepler-127 d"
"GJ 1214 b"
"HAT-P-14 b"
"HAT-P-3 b"
"HD 209458 b"
"WASP-17 b"
"WASP-19 b"
"WASP-39 b"
"WASP-43 b"
"XO-2 N b"
"K2-18 b"
"HAT-P-4 b"
"HD 149026 b"
"HD 149026 b"
"HD 189733 b"
"HD 189733 b"
"HD 189733 b"
"HD 189733 b"
"HD 189733 b"
"HD 189733 b"
"HD 189733 b"
"HD 189733 b"
"HD 189733 b"
"HD 189733 b"
"HD 189733 b"
"Kepler-6 b"
"Kepler-20 c"
"55 Cnc e"
"CoRoT-1 b"
"CoRoT-1 b"
"GJ 1214 b"
"Kepler-127 d"
"Kepler-25 b"
"Kepler-93 b"
"HAT-P-3 b"
"HD 189733 b"
"HD 97658 b"
"TrES-4 b"
"WASP-12 b"
"WASP-18 b"
"WASP-43 b"
"WASP-46 b"
"WASP-79 b"
"TRAPPIST-1 c"
"WASP-101 b"
"LTT 9779 b"
"HD 189733 b"
"HD 189733 b"
"HD 189733 b"
"GJ 1214 b"
"WASP-79 b"
"WASP-189 b"
"TOI-270 d"
"WASP-127 b"
"WASP-79 b"
"WASP-62 b"
"HAT-P-41 b"
"HAT-P-7 b"
"HAT-P-32 b"
"HD 189733 b"
"HD 209458 b"
"KELT-1 b"
"WASP-103 b"
"KELT-7 b"
"WASP-121 b"
"WASP-12 b"
"WASP-18 b"
"WASP-117 b"
"WASP-117 b"
"KELT-9 b"
"HAT-P-41 b"
"KELT-7 b"
"KOI-13 b"
"WASP-74 b"
"WASP-76 b"
"WASP-79 b"
"WASP-121 b"
"WASP-74 b"
"WASP-74 b"
"WASP-76 b"
"GJ 1132 b"
"WASP-79 b"
"GJ 1132 b"
"LTT 1445 A b"
"WASP-178 b"
"HAT-P-41 b"
"HAT-P-41 b"
"KELT-20 b"
"KELT-20 b"
"KELT-20 b"
"TRAPPIST-1 h"
"WASP-79 b"
"HD 189733 b"
"KELT-9 b"
"LHS 475 b"
"WASP-17 b"
"WASP-17 b"
"GJ 9827 d"
"WASP-17 b"
"WASP-17 b"
"WASP-17 b"
"K2-18 b"
"K2-18 b"
"LHS 475 b"
"LHS 475 b"
"Kepler-138 d"
"WASP-17 b"
"WASP-17 b"
"WASP-107 b"
"WASP-107 b"
"WASP-107 b"
"LHS 475 b"
"GJ 367 b"
"GJ 1132 b"
"GJ 1132 b"
"GJ 1132 b"
"GJ 1132 b"
"GJ 1132 b"
"GJ 1132 b"
"HAT-P-19 b"
"HAT-P-51 b"
"HAT-P-55 b"
"HAT-P-65 b"
"HAT-P-26 b"
"HAT-P-26 b"
"HAT-P-26 b"
"HAT-P-26 b"
"HAT-P-26 b"
"HAT-P-26 b"
"HAT-P-26 b"
"HAT-P-26 b"
"HAT-P-12 b"
"HD 209458 b"
"WASP-6 b"
"WASP-17 b"
"WASP-39 b"
"WASP-96 b"
"CoRoT-1 b"
"L 168-9 b"
"L 168-9 b"
"WASP-19 b"
"WASP-43 b"
"WASP-76 b"
"WASP-74 b"
"WASP-79 b"
"CoRoT-1 b"
"CoRoT-1 b"
"HAT-P-2 b"
"HAT-P-2 b"
"HAT-P-32 b"
"HAT-P-32 b"
"HAT-P-7 b"
"HD 189733 b"
"HAT-P-70 b"
"HAT-P-41 b"
"HD 189733 b"
"KELT-1 b"
"HD 209458 b"
"KELT-1 b"
"KELT-7 b"
"KELT-7 b"
"KELT-9 b"
"KELT-9 b"
"KOI-13 b"
"KOI-13 b"
"TrES-3 b"
"WASP-103 b"
"WASP-103 b"
"TrES-3 b"
"WASP-121 b"
"WASP-12 b"
"WASP-12 b"
"WASP-18 b"
"WASP-18 b"
"WASP-19 b"
"WASP-19 b"
"WASP-33 b"
"WASP-43 b"
"WASP-43 b"
"WASP-4 b"
"WASP-74 b"
"WASP-74 b"
"WASP-77 A b"
"WASP-25 b"
"WASP-124 b"
"CoRoT-1 b"
"HAT-P-18 b"
"HAT-P-57 b"
"Qatar-1 b"
"TrES-4 b"
"WASP-2 b"
"WASP-32 b"
"WASP-36 b"
"WASP-49 b"
"WASP-156 b"
"WASP-10 b"
"WASP-39 b"
"WASP-121 b"
"HAT-P-12 b"
"HAT-P-12 b"
"HAT-P-12 b"
"HAT-P-12 b"
"HAT-P-12 b"
"HAT-P-41 b"
"LTT 9779 b"
"WASP-77 A b"
"HAT-P-7 b"
"HD 209458 b"
"WASP-33 b"
"WASP-121 b"
"WASP-4 b"
"WASP-76 b"
"WASP-76 b"
"WASP-79 b"
"WASP-77 A b"
"WASP-79 b"
"CoRoT-1 b"
"GJ 1214 b"
"GJ 3470 b"
"HAT-P-2 b"
"HAT-P-7 b"
"HD 219666 b"
"HD 97658 b"
"HIP 41378 f"
"HIP 41378 b"
"K2-24 b"
"KELT-1 b"
"Kepler-51 d"
"Kepler-9 c"
"TOI-270 c"
"TOI-270 d"
"TOI-674 b"
"V1298 Tau b"
"TrES-4 b"
"TrES-2 b"
"V1298 Tau c"
"WASP-107 b"
"WASP-121 b"
"WASP-178 b"
"WASP-103 b"
"WASP-18 b"
"WASP-6 b"
"WASP-19 b"
"Kepler-9 b"
"WASP-39 b"
"WASP-39 b"
"WASP-39 b"
"TOI-4860 b"
"TOI-4860 b"
"TOI-4438 b"
"TOI-4438 b"
"HATS-2 b"
"HATS-2 b"
"HD 106315 c"
"HD 3167 c"
"WASP-43 b"
"WASP-43 b"
"WASP-43 b"
"TOI-1268 b"
"TOI-1268 b"
"WASP-43 b"
"WASP-43 b"
"WASP-43 b"
"WASP-43 b"
"WASP-43 b"
"WASP-43 b"
"55 Cnc e"
"55 Cnc e"
"KELT-7 b"
"KELT-7 b"
"KELT-7 b"
"WASP-6 b"
"KELT-3 b"
"KELT-2 A b"
"HAT-P-41 b"
"HAT-P-40 b"
"HAT-P-33 b"
"HAT-P-30 b"
"HAT-P-13 b"
"WASP-76 b"
"WASP-76 b"
"WASP-76 b"
"WASP-76 b"
"WASP-76 b"
"WASP-76 b"
"WASP-76 b"
"HD 209458 b"
"HD 209458 b"
"WASP-74 b"
"WASP-62 b"
"KELT-7 b"
"WASP-131 b"
"WASP-121 b"
"WASP-104 b"
"WASP-103 b"
"WASP-103 b"
"WASP-101 b"
"WASP-100 b"
"WASP-97 b"
"WASP-94 A b"
"WASP-87 b"
"WASP-79 b"
"WASP-78 b"
"WASP-77 A b"
"WASP-76 b"
"WASP-74 b"
"WASP-65 b"
"WASP-64 b"
"WASP-63 b"
"WASP-62 b"
"WASP-46 b"
"WASP-43 b"
"WASP-36 b"
"WASP-19 b"
"WASP-19 b"
"WASP-18 b"
"WASP-14 b"
"WASP-14 b"
"WASP-12 b"
"Qatar-1 b"
"KELT-7 b"
"LHS 1140 b"
"LHS 1140 c"
"WASP-107 b"
"WASP-107 b"
"WASP-107 b"
"WASP-107 b"
"WASP-107 b"
"WASP-107 b"
"WASP-107 b"
"WASP-107 b"
"WASP-107 b"
"WASP-107 b"
"TOI-836 b"
"TOI-836 b"
"TOI-836 b"
"TOI-836 b"
"TOI-836 b"
"2MASS J12073346-3932539 b"
"51 Eri b"
"51 Eri b"
"51 Eri b"
"51 Eri b"
"51 Eri b"
"51 Eri b"
"bet Pic b"
"bet Pic b"
"bet Pic b"
"bet Pic b"
"GQ Lup b"
"HIP 65426 b"
"HR 8799 b"
"HR 8799 b"
"HD 189733 b"
"HAT-P-18 b"
"WASP-80 b"
"WASP-80 b"
"WASP-80 b"
"KELT-9 b"
"LHS 1140 b"
"LHS 1140 b"
"HAT-P-18 b"
"V1298 Tau b"
"HR 8799 c"
"HR 8799 c"
"HR 8799 c"
"HR 8799 c"
"HR 8799 d"
"HR 8799 d"
"HR 8799 d"
"HR 8799 d"
"HR 8799 d"
"HR 8799 e"
"HR 8799 e"
"HR 8799 e"
"HR 8799 e"
"HR 8799 e"
"HIP 65426 b"
"PDS 70 b"
"PDS 70 c"
"VHS J125601.92-125723.9 b"
"VHS J125601.92-125723.9 b"
"VHS J125601.92-125723.9 b"
"VHS J125601.92-125723.9 b"
"HR 8799 c"
"WASP-69 b"
"WASP-39 b"
"WASP-69 b"
"WASP-69 b"
"GJ 486 b"
"GJ 486 b"
"WASP-39 b"
"WASP-39 b"
"WASP-39 b"
"WASP-39 b"
"WASP-39 b"
"TOI-836 c"
"TOI-836 c"
"TOI-836 c"
"GJ 9827 d"
"HIP 67522 b"
"HIP 67522 b"
"HIP 67522 b"
"GJ 1132 b"
"GJ 3470 b"
"GJ 3470 b"
"GJ 3470 b"
"GJ 3470 b"
"L 98-59 d"
"55 Cnc e"
"55 Cnc e"
"55 Cnc e"
"55 Cnc e"
"55 Cnc e"
"55 Cnc e"
"55 Cnc e"
"55 Cnc e"
"55 Cnc e"
"55 Cnc e"
"COCONUTS-2 b"
"GJ 1214 b"
"GJ 1214 b"
"GJ 1214 b"
"55 Cnc e"
"55 Cnc e"
"55 Cnc e"
"55 Cnc e"
"55 Cnc e"
"V1298 Tau c"
"WASP-39 b"
"HD 202772 A b"
"L 98-59 b"
"L 98-59 b"
"L 98-59 b"
"KELT-9 b"
"KELT-9 b"
"KELT-9 b"
"KELT-9 b"
"L 98-59 b"
"L 98-59 b"
"L 98-59 b"
"CoRoT-1 b"
"CoRoT-1 b"
"WASP-29 b"
"WASP-80 b"
"WASP-29 b"
"WASP-80 b"
"WASP-29 b"
"WASP-80 b"
"WASP-29 b"
"WASP-80 b"
"WASP-29 b"
"WASP-80 b"
"WASP-17 b"
"WASP-17 b"
"HD 189733 b"
"HD 189733 b"
"HD 189733 b"
"HD 189733 b"
"WASP-107 b"
"WASP-17 b"
"L 168-9 b"
"L 168-9 b"
"L 168-9 b"
"L 168-9 b"
"L 168-9 b"
"L 168-9 b"
"XO-3 b"
"WASP-17 b"
"WASP-17 b"
"WASP-17 b"
"WASP-17 b"
"WASP-17 b"
"L 98-59 c"
"TRAPPIST-1 b"
"HD 95086 b"
"WASP-19 b"
"WASP-19 b"
"WASP-19 b"
"L 98-59 b"
"L 98-59 b"
"WASP-52 b"
"WASP-19 b"
"HAT-P-7 b"
"GJ 436 b"
"GJ 436 b"
"GJ 436 b"
"GJ 436 b"
"GJ 436 b"
"GJ 436 b"
"GJ 504 b"
"HR 8799 c"
"HR 8799 d"
"HR 8799 e"
"HR 2562 b"
"K2-18 b"
"K2-18 b"
"L 98-59 c"
"L 98-59 c"
"L 98-59 c"
"L 98-59 c"
"AF Lep b"
"AF Lep b"
"AF Lep b"
"eps Ind A b"
"eps Ind A b"
"WD 0806-661 b"
"LTT 9779 b"
"TOI-776 b"
"TOI-776 b"
"TOI-776 b"
"TOI-776 b"
"TOI-776 c"
"TOI-776 c"
"TOI-776 c"
"TOI-776 c"
"TOI-776 c"
"TOI-776 c"
"TOI-431 b"
"HAT-P-26 b"
"HAT-P-26 b"
"TOI-1468 b"
"TOI-1468 b"
"TOI-1468 b"
"TOI-1468 b"
"WASP-43 b"
"TrES-4 b"
"TrES-4 b"
"WASP-15 b"
"WASP-15 b"
"WASP-15 b"
"WASP-15 b"
"HD 219666 b"
"HD 219666 b"
"HD 219666 b"
"GJ 357 b"
"HAT-P-2 b"
"HAT-P-2 b"
"WASP-127 b"
"LHS 1140 c"
"LTT 1445 A b"
"LTT 1445 A b"
"WASP-96 b"
"WASP-96 b"
"WASP-96 b"
"WASP-96 b"
"TRAPPIST-1 c"
"TRAPPIST-1 c"
"Luhman 16 b"
"Luhman 16 b"
